BBB PH2;FAV;7Y;1;Z9
BBB PH2;FAV;9Y;2;Z10
BBB PH2;FAV;10Y;3;Z11
BBB PH2;FAV;12X;4;Z12
BBB PH2;FAV;37Z;5;Z14
BBB PH2;FAV;39Z;6;Z15
BBB PH2;FAV;40Z;7;Z16
BBB PH2;FAV;42Z;8;Z17
BBB PH2;FAV;6Z;9;Z21
BBB PH2;FAV;4Z;10;Z22
BBB PH2;FAV;15Y;11;Z24
BBB PH2;FAV;16Y;12;Z25
BBB PH2;FAV;63Z;13;Z27
BBB PH2;FAV;61Z;14;Z28
BBB PH2;FAV;58Y;15;Z30
BBB PH2;FAV;59Y;16;Z31
BBB PH2;FAV;25Z;17;Z33
BBB PH2;FAV;24Z;18;Z34
BBB PH2;FAV;26Z;19;Z35
BBB PH2;FAV;27Y;20;Z36
BBB PH2;FAV;28Y;21;Z37
BBB PH2;FAV;29Y;22;Z38
BBB PH2;FAV;30Y;23;Z39
BBB PH2;FAV;32Z;24;Z41
BBB PH2;FAV;31Z;25;Z42
BBB PH2;FAV;21X;26;Z46
BBB PH2;FAV;22X;27;Z47
BBB PH2;FAV;51Y;28;Z49
BBB PH2;FAV;52Y;29;Z50
BBB PH2;FAV;1Z;30;Z52
BBB PH2;FAV;20Z;31;Z53
BBB PH2;FAV;2Z;32;Z54
BBB PH2;FAV;3Z;33;Z55
BBB PH2;FAV;85Z;34;Z57
BBB PH2;FAV;83Y;35;Z58
BBB PH2;FAV;70Z;36;Z60
BBB PH2;FAV;71Y;37;Z61
BBB PH2;FAV;80Z;38;Z62
BBB PH2;FAV;81Y;39;Z63
BBB PH2;FAV;37Y;40;Z65
BBB PH2;FAV;38Z;41;Z66
BBB PH2;FAV;39Z;42;Z67
BBB PH2;FAV;40Y;43;Z68
BBB PH2;FAV;33Z;44;Z70
BBB PH2;FAV;34Z;45;Z71
BBB PH2;FAV;201Z;46;Z73
BBB PH2;FAV;202Y;47;Z74
BBB PH2;FAV;X12Z;48;Z76
BBB PH2;FAV;X13Y;49;Z77
BBB PH2;FAV;41Z;50;Z79
BBB PH2;FAV;42Y;51;Z80
BBB PH2;FAV;43Z;52;Z81
BBB PH2;FAV;47Z;53;Z82
BBB PH2;FAV;42Y;54;Z83
BBB PH2;FAV;43Z;55;Z84
BBB PH2;FAV;47Z;56;Z85
BBB PH2;FAV;82Y;57;Z89
BBB PH2;FAV;83Z;58;Z90
BBB PH2;FAV;84Z;59;Z92
BBB PH2;FAV;65Y;60;Z96
BBB PH2;FAV;66Y;61;Z97
BBB PH2;FAV;67X;62;Z99
BBB PH2;FAV;68X;63;Z100
BBB PH2;FAV;97Z;64;Z102
BBB PH2;FAV;98Z;65;Z103
BBB PH2;FAV;80X;66;Z105
BBB PH2;FAV;81X;67;Z106
BBB PH2;FAV;25Y;68;Z110
BBB PH2;FAV;26Y;69;Z111
BBB PH2;FAV;17Y;70;Z113
BBB PH2;FAV;18Y;71;Z114
BBB PH2;FAV;69Y;72;Z115
BBB PH2;FAV;70Y;73;Z116
BBB PH2;FAV;107Y;74;Z120
BBB PH2;FAV;109Y;75;Z121
BBB PH2;FAV;110Y;76;Z122
BBB PH2;FAV;112X;77;Z123
BBB PH2;FAV;137Z;78;Z125
BBB PH2;FAV;139Z;79;Z126
BBB PH2;FAV;140Z;80;Z127
BBB PH2;FAV;142Z;81;Z128
BBB PH2;FAV;106Z;82;Z132
BBB PH2;FAV;104Z;83;Z133
BBB PH2;FAV;115Y;84;Z135
BBB PH2;FAV;116Y;85;Z136
BBB PH2;FAV;163Z;86;Z138
BBB PH2;FAV;161Z;87;Z139
BBB PH2;FAV;158Y;88;Z141
BBB PH2;FAV;159Y;89;Z142
BBB PH2;FAV;125Z;90;Z144
BBB PH2;FAV;124Z;91;Z145
BBB PH2;FAV;126Z;92;Z146
BBB PH2;FAV;127Y;93;Z147
BBB PH2;FAV;128Y;94;Z148
BBB PH2;FAV;129Y;95;Z149
BBB PH2;FAV;130Y;96;Z150
BBB PH2;FAV;132Z;97;Z152
BBB PH2;FAV;131Z;98;Z153
BBB PH2;FAV;121X;99;Z157
BBB PH2;FAV;122X;100;Z158
BBB PH2;FAV;151Y;101;Z160
BBB PH2;FAV;152Y;102;Z161
BBB PH2;FAV;120Z;103;Z163
BBB PH2;FAV;102Z;104;Z164
BBB PH2;FAV;103Z;105;Z165
BBB PH2;FAV;137Y;106;Z167
BBB PH2;FAV;138Z;107;Z168
BBB PH2;FAV;139Z;108;Z169
BBB PH2;FAV;140Y;109;Z170
BBB PH2;FAV;133Z;110;Z172
BBB PH2;FAV;134Z;111;Z173
BBB PH2;FAV;1201Z;112;Z175
BBB PH2;FAV;1202Y;113;Z176
BBB PH2;FAV;XX12Z;114;Z178
BBB PH2;FAV;XX13Y;115;Z179
BBB PH2;FAV;182Y;116;Z183
BBB PH2;FAV;183Z;117;Z184
BBB PH2;FAV;184Z;118;Z186
